Sentence,modifier,position,ix
У всех нас сегодня очень интересные доклады,vse,high,1
У всех нас недавно произошло трагическое событие,vse,high,2
У нас каждого сегодня есть чем поделиться.,kazhdy,high,1
У них каждого небось по куче денег,kazhdy,high,2
У него самого теперь почти нет денег,sam,high,1
"У меня самого сейчас возникли вопросы к организаторам этого мероприятия,",sam,high,2
У тебя и пьяного иногда отлично голова работает,depic,high,1
"У него и больного часто получается лучше, чем у других",depic,high,2
Мы уже бывали в гостях у них всех.,vse,low,1
Он одолжил денег у них всех.,vse,low,2
"Не волнуйся, он это спрашивал у нас каждого.",kazhdy,low,1
Она проверила домашнее задание у нас каждого.,kazhdy,low,2
Я узнал все детали у нее самой.,sam,low,1
Она мечтала обо всем спросить у него самого.,sam,low,2
Я никогда раньше не был у него больного.,depic,low,1
Я каждый раз прошу помощи у него уставшего.,depic,low,2
